Regime,Epicentro,Ativo,Barreira_Contagio
Regime_1,BBSE3.SA,BPAC11.SA,0.7178
Regime_1,BBSE3.SA,LREN3.SA,0.7178
Regime_1,BBSE3.SA,CVCB3.SA,0.7178
Regime_1,BBSE3.SA,PETR4.SA,0.7178
Regime_1,BBSE3.SA,VALE3.SA,0.7178
Regime_1,BBSE3.SA,CEAB3.SA,0.7178
Regime_1,BBSE3.SA,SBSP3.SA,0.7178
Regime_1,B3SA3.SA,BBSE3.SA,0.7178
Regime_1,VIVT3.SA,TIMS3.SA,0.7679
Regime_1,TIMS3.SA,VIVT3.SA,0.7679
Regime_1,ITUB4.SA,TIMS3.SA,0.8364
Regime_1,ITUB4.SA,VIVT3.SA,0.8364
Regime_1,BBDC4.SA,TIMS3.SA,0.8364
Regime_1,BBDC4.SA,VIVT3.SA,0.8364
Regime_1,BBAS3.SA,TIMS3.SA,0.8364
Regime_1,BBAS3.SA,VIVT3.SA,0.8364
Regime_1,BPAC11.SA,TIMS3.SA,0.8364
Regime_1,BPAC11.SA,VIVT3.SA,0.8364
Regime_1,SANB11.SA,TIMS3.SA,0.8364
Regime_1,SANB11.SA,VIVT3.SA,0.8364
Regime_1,MGLU3.SA,TIMS3.SA,0.8364
Regime_1,MGLU3.SA,VIVT3.SA,0.8364
Regime_1,LREN3.SA,TIMS3.SA,0.8364
Regime_1,LREN3.SA,VIVT3.SA,0.8364
Regime_1,CEAB3.SA,TIMS3.SA,0.8364
Regime_1,CEAB3.SA,VIVT3.SA,0.8364
Regime_1,AMER3.SA,TIMS3.SA,0.8364
Regime_1,AMER3.SA,VIVT3.SA,0.8364
Regime_1,PETR4.SA,TIMS3.SA,0.8364
Regime_1,PETR4.SA,VIVT3.SA,0.8364
Regime_1,VALE3.SA,TIMS3.SA,0.8364
Regime_1,VALE3.SA,VIVT3.SA,0.8364
Regime_1,SBSP3.SA,TIMS3.SA,0.8364
Regime_1,SBSP3.SA,VIVT3.SA,0.8364
Regime_1,MRVE3.SA,TIMS3.SA,0.8364
Regime_1,MRVE3.SA,VIVT3.SA,0.8364
Regime_1,CYRE3.SA,TIMS3.SA,0.8364
Regime_1,CYRE3.SA,VIVT3.SA,0.8364
Regime_1,EZTC3.SA,TIMS3.SA,0.8364
Regime_1,EZTC3.SA,VIVT3.SA,0.8364
Regime_1,VIVT3.SA,AMER3.SA,0.8364
Regime_1,VIVT3.SA,MGLU3.SA,0.8364
Regime_1,VIVT3.SA,B3SA3.SA,0.8364
Regime_1,VIVT3.SA,BBAS3.SA,0.8364
Regime_1,VIVT3.SA,BBDC4.SA,0.8364
Regime_1,VIVT3.SA,ITUB4.SA,0.8364
Regime_1,VIVT3.SA,SANB11.SA,0.8364
Regime_1,VIVT3.SA,CYRE3.SA,0.8364
Regime_1,VIVT3.SA,EZTC3.SA,0.8364
Regime_1,VIVT3.SA,MRVE3.SA,0.8364
Regime_1,VIVT3.SA,BPAC11.SA,0.8364
Regime_1,VIVT3.SA,LREN3.SA,0.8364
Regime_1,VIVT3.SA,CVCB3.SA,0.8364
Regime_1,VIVT3.SA,PETR4.SA,0.8364
Regime_1,VIVT3.SA,VALE3.SA,0.8364
Regime_1,VIVT3.SA,CEAB3.SA,0.8364
Regime_1,VIVT3.SA,SBSP3.SA,0.8364
Regime_1,VIVT3.SA,BBSE3.SA,0.8364
Regime_1,TIMS3.SA,AMER3.SA,0.8364
Regime_1,TIMS3.SA,MGLU3.SA,0.8364
Regime_1,TIMS3.SA,B3SA3.SA,0.8364
Regime_1,TIMS3.SA,BBAS3.SA,0.8364
Regime_1,TIMS3.SA,BBDC4.SA,0.8364
Regime_1,TIMS3.SA,ITUB4.SA,0.8364
Regime_1,TIMS3.SA,SANB11.SA,0.8364
Regime_1,TIMS3.SA,CYRE3.SA,0.8364
Regime_1,TIMS3.SA,EZTC3.SA,0.8364
Regime_1,TIMS3.SA,MRVE3.SA,0.8364
Regime_1,TIMS3.SA,BPAC11.SA,0.8364
Regime_1,TIMS3.SA,LREN3.SA,0.8364
Regime_1,TIMS3.SA,CVCB3.SA,0.8364
Regime_1,TIMS3.SA,PETR4.SA,0.8364
Regime_1,TIMS3.SA,VALE3.SA,0.8364
Regime_1,TIMS3.SA,CEAB3.SA,0.8364
Regime_1,TIMS3.SA,SBSP3.SA,0.8364
Regime_1,TIMS3.SA,BBSE3.SA,0.8364
Regime_1,CVCB3.SA,TIMS3.SA,0.8364
Regime_1,CVCB3.SA,VIVT3.SA,0.8364
Regime_1,BBSE3.SA,TIMS3.SA,0.8364
Regime_1,BBSE3.SA,VIVT3.SA,0.8364
Regime_1,B3SA3.SA,TIMS3.SA,0.8364
Regime_1,B3SA3.SA,VIVT3.SA,0.8364
Regime_1,ITUB4.SA,RADL3.SA,1.0004
Regime_1,BBDC4.SA,RADL3.SA,1.0004
Regime_1,BBAS3.SA,RADL3.SA,1.0004
Regime_1,BPAC11.SA,RADL3.SA,1.0004
Regime_1,SANB11.SA,RADL3.SA,1.0004
Regime_1,MGLU3.SA,RADL3.SA,1.0004
Regime_1,LREN3.SA,RADL3.SA,1.0004
Regime_1,RADL3.SA,AMER3.SA,1.0004
Regime_1,RADL3.SA,MGLU3.SA,1.0004
Regime_1,RADL3.SA,B3SA3.SA,1.0004
Regime_1,RADL3.SA,BBAS3.SA,1.0004
Regime_1,RADL3.SA,BBDC4.SA,1.0004
Regime_1,RADL3.SA,ITUB4.SA,1.0004
Regime_1,RADL3.SA,SANB11.SA,1.0004
Regime_1,RADL3.SA,CYRE3.SA,1.0004
Regime_1,RADL3.SA,EZTC3.SA,1.0004
Regime_1,RADL3.SA,MRVE3.SA,1.0004
Regime_1,RADL3.SA,BPAC11.SA,1.0004
Regime_1,RADL3.SA,LREN3.SA,1.0004
Regime_1,RADL3.SA,CVCB3.SA,1.0004
Regime_1,RADL3.SA,PETR4.SA,1.0004
Regime_1,RADL3.SA,VALE3.SA,1.0004
Regime_1,RADL3.SA,CEAB3.SA,1.0004
Regime_1,RADL3.SA,SBSP3.SA,1.0004
Regime_1,RADL3.SA,BBSE3.SA,1.0004
Regime_1,RADL3.SA,TIMS3.SA,1.0004
Regime_1,RADL3.SA,VIVT3.SA,1.0004
Regime_1,CEAB3.SA,RADL3.SA,1.0004
Regime_1,AMER3.SA,RADL3.SA,1.0004
Regime_1,PETR4.SA,RADL3.SA,1.0004
Regime_1,VALE3.SA,RADL3.SA,1.0004
Regime_1,SBSP3.SA,RADL3.SA,1.0004
Regime_1,MRVE3.SA,RADL3.SA,1.0004
Regime_1,CYRE3.SA,RADL3.SA,1.0004
Regime_1,EZTC3.SA,RADL3.SA,1.0004
Regime_1,VIVT3.SA,RADL3.SA,1.0004
Regime_1,TIMS3.SA,RADL3.SA,1.0004
Regime_1,CVCB3.SA,RADL3.SA,1.0004
Regime_1,BBSE3.SA,RADL3.SA,1.0004
Regime_1,B3SA3.SA,RADL3.SA,1.0004
Regime_2,ITUB4.SA,BBDC4.SA,0.3789
Regime_2,BBDC4.SA,ITUB4.SA,0.3789
Regime_2,ITUB4.SA,BBAS3.SA,0.5035
Regime_2,BBDC4.SA,BBAS3.SA,0.5035
Regime_2,BBAS3.SA,ITUB4.SA,0.5035
Regime_2,BBAS3.SA,BBDC4.SA,0.5035
Regime_2,ITUB4.SA,SANB11.SA,0.5889
Regime_2,BBDC4.SA,SANB11.SA,0.5889
Regime_2,BBAS3.SA,SANB11.SA,0.5889
Regime_2,SANB11.SA,ITUB4.SA,0.5889
Regime_2,SANB11.SA,BBDC4.SA,0.5889
Regime_2,SANB11.SA,BBAS3.SA,0.5889
Regime_2,CYRE3.SA,EZTC3.SA,0.6267
Regime_2,EZTC3.SA,CYRE3.SA,0.6267
Regime_2,ITUB4.SA,PETR4.SA,0.7023
Regime_2,BBDC4.SA,PETR4.SA,0.7023
Regime_2,BBAS3.SA,PETR4.SA,0.7023
Regime_2,SANB11.SA,PETR4.SA,0.7023
Regime_2,PETR4.SA,ITUB4.SA,0.7023
Regime_2,PETR4.SA,BBDC4.SA,0.7023
Regime_2,PETR4.SA,BBAS3.SA,0.7023
Regime_2,PETR4.SA,SANB11.SA,0.7023
Regime_2,MRVE3.SA,CYRE3.SA,0.7697
Regime_2,MRVE3.SA,EZTC3.SA,0.7697
Regime_2,CYRE3.SA,MRVE3.SA,0.7697
Regime_2,EZTC3.SA,MRVE3.SA,0.7697
Regime_2,MRVE3.SA,TIMS3.SA,0.8511
Regime_2,CYRE3.SA,TIMS3.SA,0.8511
Regime_2,EZTC3.SA,TIMS3.SA,0.8511
Regime_2,TIMS3.SA,CYRE3.SA,0.8511
Regime_2,TIMS3.SA,EZTC3.SA,0.8511
Regime_2,TIMS3.SA,MRVE3.SA,0.8511
Regime_2,MGLU3.SA,AMER3.SA,0.8591
Regime_2,AMER3.SA,MGLU3.SA,0.8591
Regime_2,LREN3.SA,CEAB3.SA,0.86
Regime_2,CEAB3.SA,LREN3.SA,0.86
Regime_2,LREN3.SA,CYRE3.SA,0.8922
Regime_2,LREN3.SA,EZTC3.SA,0.8922
Regime_2,LREN3.SA,MRVE3.SA,0.8922
Regime_2,LREN3.SA,TIMS3.SA,0.8922
Regime_2,CEAB3.SA,CYRE3.SA,0.8922
Regime_2,CEAB3.SA,EZTC3.SA,0.8922
Regime_2,CEAB3.SA,MRVE3.SA,0.8922
Regime_2,CEAB3.SA,TIMS3.SA,0.8922
Regime_2,MRVE3.SA,LREN3.SA,0.8922
Regime_2,MRVE3.SA,CEAB3.SA,0.8922
